06-10007,sum,2015,BSED,MAPE,SS 401,Basic Economics with Taxation Agrarian Reforms,1.8,,3
06-10007,sum,2015,BSED,MAPE,SS 403-2S,Life and Works of Rizal,2,,3
06-10007,sum,2015,BSED,MAPE,ED 202 (R.),Principles of Teaching ,1.3,,3
06-10007,1,2015-2016  ,BSED,MAPE,EDUC 305,Assessment of Student Learning I,2.1,,3
06-10007,1,2015-2016  ,BSED,MAPE,EDUC 307-2S,Educational Technology II,2.1,,3
06-10007,1,2015-2016  ,BSED,MAPE,MAPE 301,Philippine Folkdance and other Dance Forms,1.7,,3
06-10007,1,2015-2016  ,BSED,MAPE,MAPE 303,Philippine and Asian Music,1.7,,3
06-10007,1,2015-2016  ,BSED,MAPE,MAPE 305,Organization and Management of MAPE Activities,1.2,,3
06-10007,1,2015-2016  ,BSED,MAPE,MAPE 302,Research in MAPE,INP,2.7,3
06-10007,1,2015-2016  ,BSED,MAPE,MAPE 309,Gymnastics,1.6,,3
06-10007,2,2015-2016  ,BSED,MAPE,EDUC 302-F,The Teaching Profession,1.5,,3
06-10007,2,2015-2016  ,BSED,MAPE,EDUC 304,Assessment of Student Learning II,1.5,,3
06-10007,2,2015-2016  ,BSED,MAPE,EDUC 306,Special Topic,2.1,,3
06-10007,2,2015-2016  ,BSED,MAPE,EDUC 308-F4F,Curriculum Development,1.4,,3
06-10007,2,2015-2016  ,BSED,MAPE,MAPE 304,Aquatics,1.6,,3
06-10007,2,2015-2016  ,BSED,MAPE,MAPE 306,International Folk Dance & Other Dance Forms,1.5,,3
06-10007,2,2015-2016  ,BSED,MAPE,MAPE 307,Solfeggio and Applied Piano,1.1,,3
06-10007,2,2015-2016  ,BSED,MAPE,HUM 302-2SF,Introduction to Logic/Philosophy of Man,2.9,,3
06-10007,1,2016-2017,BSED,MAPE,EDUC 401,Field Study II,1.2,,3
06-10007,1,2016-2017,BSED,MAPE,MAPE 401-1,"Athletics, Individual, Dual & Combative Sports",2.5,,3
06-10007,1,2016-2017,BSED,MAPE,MAPE 403,Choral Works and Conducting,1.6,,3
06-10007,1,2016-2017,BSED,MAPE,MAPE 407,Rondalla Playing and Instrumentation,1.6,,3
06-10007,1,2016-2017,BSED,MAPE,MAPE 409,"Coaching and Officiating Sports, Dance, & Music Activities",1.7,,3
06-10007,1,2016-2017,BSED,MAPE,MAPE 411,Methods and Strategies in Teaching MAPE,1.7,,3
06-10007,2,2016-2017,BSED,MAPE,EDUC 402,Student Teaching,1,,6
06-10007,2,2016-2017,BSED,MAPE,EDUC 404,Seminar In Education,2.1,,-3
