09-10179,2,2011-2012,BEED,GENERAL EDUCATION,MATH 205-3S,Advance Algebra I,INC,3,3
09-10179,2,2011-2012,BEED,GENERAL EDUCATION,RES 312,Research in Elementary Education,INP,2.2,3
09-10179,2,2011-2012,BEED,GENERAL EDUCATION,HUMA 302-2SF,Logic,1.7,,3
09-10179,2,2011-2012,BEED,GENERAL EDUCATION,SS 302,Philippine Government and Constitution,2.7,,3
09-10179,1,2012-2013,BEED,GENERAL EDUCATION,EDUC 401,Field Study II,2.2,,3
09-10179,1,2012-2013,BEED,GENERAL EDUCATION,SS 203-4,Economics with Taxation Agrarian Reforms,2.6,,3
09-10179,1,2012-2013,BEED,GENERAL EDUCATION,SS 403-2S,Life and Works of Rizal,2.5,,3
09-10179,1,2012-2013,BEED,GENERAL EDUCATION,MAPE 401,Basic Concepts in Elementary Arts and P.E.,1.4,,3
09-10179,1,2012-2013,BEED,GENERAL EDUCATION,MATH 401,The Teaching of Mathematics,1.4,,3
09-10179,1,2012-2013,BEED,GENERAL EDUCATION,SCIE 401,The Teaching of Science,2,,3
09-10179,1,2012-2013,BEED,GENERAL EDUCATION,SS 305-4,Geography and Natural Resources of the Philippines,1.8,,3
09-10179,1,2012-2013,BEED,GENERAL EDUCATION,SS 407,Building Bridges Across the Social Science Discipline: Re-Makabayan,2.1,,3
09-10179,1,2012-2013,BEED,GENERAL EDUCATION,HELE 401,Economics and Livelihood Education,1.4,,3
09-10179,2,2012-2013,BEED,GENERAL EDUCATION,EDUC 402,Student Teaching,1.4,,6
09-10179,2,2012-2013,BEED,GENERAL EDUCATION,EDUC 404,Seminar in Education,2,,-3
